Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
AKÁC UTCA,stimuli/scenes/094a.jpg,scene,right,Hippopolis,2,stimuli/objects/058a.jpg,stimuli/scenes/103a.jpg,stimuli/scenes/103b.jpg,stimuli/objects/058b.jpg,stimuli/objects/058a.jpg,dist1,dist2,lure,target
KANÁL UTCA,stimuli/objects/052a.jpg,object,left,Hippopolis,1,stimuli/objects/004a.jpg,stimuli/objects/004a.jpg,stimuli/scenes/062b.jpg,stimuli/objects/004b.jpg,stimuli/scenes/062a.jpg,target,dist2,lure,dist1
OLDAL UTCA,stimuli/scenes/008a.jpg,scene,right,Hippopolis,0,stimuli/scenes/008a.jpg,stimuli/scenes/008b.jpg,stimuli/scenes/099a.jpg,stimuli/scenes/008a.jpg,stimuli/scenes/099b.jpg,lure,dist1,target,dist2
TENISZ UTCA,stimuli/scenes/035a.jpg,scene,right,Hippopolis,2,stimuli/objects/026a.jpg,stimuli/scenes/087a.jpg,stimuli/objects/026a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/026b.jpg,dist1,target,dist2,lure
BANÁN UTCA,stimuli/objects/003a.jpg,object,left,Hippopolis,2,stimuli/scenes/025a.jpg,stimuli/objects/097a.jpg,stimuli/scenes/025a.jpg,stimuli/scenes/025b.jpg,stimuli/objects/097b.jpg,dist1,target,lure,dist2
HÁRFA UTCA,stimuli/scenes/016a.jpg,scene,right,Hippopolis,1,stimuli/scenes/037a.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/037b.jpg,stimuli/scenes/071b.jpg,target,dist1,lure,dist2
TÁSKA UTCA,stimuli/objects/120a.jpg,object,left,Hippopolis,1,stimuli/objects/109a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/objects/037b.jpg,stimuli/objects/037a.jpg,target,lure,dist2,dist1
KALAPÁCS UTCA,stimuli/scenes/009a.jpg,scene,right,Hippopolis,2,stimuli/objects/051a.jpg,stimuli/objects/051a.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/012a.jpg,stimuli/objects/051b.jpg,target,dist2,dist1,lure
LIGET UTCA,stimuli/objects/034a.jpg,object,left,Hippopolis,0,stimuli/objects/034a.jpg,stimuli/objects/034b.jpg,stimuli/objects/034a.jpg,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,lure,target,dist1,dist2
TRIATLON UTCA,stimuli/objects/080a.jpg,object,left,Hippopolis,0,stimuli/objects/080a.jpg,stimuli/objects/080a.jpg,stimuli/scenes/068b.jpg,stimuli/objects/080b.jpg,stimuli/scenes/068a.jpg,target,dist2,lure,dist1
